PLAYER 1, Player 2, Winner, Date/Time
"Josh, CPU, Josh, 2016-10-18T13:58:13-04:00"
"josh, p2_name, p2_name, 2016-10-18T14:01:02-04:00"
"josh, test, test, 2016-10-18T14:02:18-04:00"
"josh, CPU, josh, 2016-10-18T20:54:34-04:00"
"josh, john, josh, 2016-10-18T21:46:16-04:00"
